movieId,title,count_of_ratings (no of users)
1205,"Transformers: The Movie, The (1986)",1099
1294,M*A*S*H (1970),265
1362,"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",231
1494,"Sixth Man, The (1997)",102
1741,"Midaq Alley (Callejón de los milagros, El) (1995)",100
1758,Dangerous Beauty (1998),100
1868,"Truce, The (1996)",100
2645,Dracula (1958),51
3027,Slaughterhouse 2 (1988),23
3366,Where Eagles Dare (1969),23
3416,"Trial, The (Le Procès) (1963)",21
3482,Price of Glory (2000),19
3532,Freedom for Us (À nous la liberté ) (1931),10
3842,Make Them Die Slowly (Cannibal Ferox) (1980),9
3935,Kronos (1973),7
557,Mamma Roma (1962),5
578,"Hour of the Pig, The (1993)",3
669,Aparajito (1956),2
811,"Bewegte Mann, Der (1994)",2
863,Celestial Clockwork (1994),2
978,"Blue Angel, The (Blaue Engel, Der) (1930)",1
